house_id,city,area_sqft,bedrooms,bathrooms,age_years,furnishing,price_lakhs
91,Vijayawada,1022,5,3,22,Unfurnished,46.25
92,Chennai,1262,1,1,39,Furnished,59.1
93,Chennai,1105,1,3,23,Unfurnished,60.4
94,Vijayawada,1458,2,1,23,Furnished,58.25
95,Chennai,709,3,3,15,Semi-Furnished,109.28
96,Hyderabad,840,2,2,5,Unknown,62.54
97,Hyderabad,2458,3,2,22,Furnished,58.9
98,Bangalore,921,1,3,35,Unfurnished,12.56
99,Bangalore,1006,4,2,3,Unknown,42.64
100,Hyderabad,2327,2,3,35,Unknown,58.42
101,Chennai,2807,1,2,16,Furnished,47.85
102,Hyderabad,973,4,3,21,Furnished,99.54
103,Chennai,1334,5,2,6,Unfurnished,60.88
104,Hyderabad,1654,1,1,24,Furnished,65.06
105,Chennai,2278,3,3,7,Unknown,66.54
106,Chennai,1056,5,2,10,Semi-Furnished,65.93
107,Chennai,1390,4,2,28,Furnished,62.78
108,Bangalore,1499,5,1,20,Semi-Furnished,65.09
109,Vijayawada,1696,3,1,17,Unknown,128.26
110,Chennai,1331,2,2,23,Furnished,65.06
111,Hyderabad,1440,4,2,5,Unfurnished,14.96
112,Chennai,881,1,3,11,Furnished,51.42
113,Bangalore,1393,2,3,13,Furnished,65.06
114,Vijayawada,1380,4,3,26,Unknown,82.25
115,Bangalore,1604,4,3,39,Furnished,76.83
116,Bangalore,1499,1,2,33,Semi-Furnished,55.39
117,Hyderabad,1712,3,1,7,Unknown,90.48
118,Hyderabad,1956,2,2,0,Furnished,90.75
119,Hyderabad,1570,3,2,2,Furnished,69.6
120,Hyderabad,1499,5,3,23,Unfurnished,89.07
121,Vijayawada,1524,1,1,6,Unknown,71.82
122,Bangalore,1500,5,2,9,Unfurnished,50.96
123,Bangalore,1175,3,2,33,Furnished,82.45
124,Vijayawada,1642,4,1,34,Furnished,67.77
125,Chennai,1456,3,1,33,Furnished,65.03
126,Bangalore,2442,2,2,10,Semi-Furnished,101.82
127,Hyderabad,2208,4,1,24,Unknown,3.73
128,Chennai,1674,4,1,24,Unknown,29.56
129,Bangalore,1499,1,2,7,Furnished,35.32
130,Bangalore,999,4,1,22,Semi-Furnished,55.92
131,Bangalore,2036,4,2,21,Semi-Furnished,58.63
132,Bangalore,1618,2,1,15,Semi-Furnished,65.06
133,Hyderabad,1716,5,1,30,Unfurnished,40.37
134,Bangalore,715,4,2,27,Unfurnished,43.48
135,Chennai,1917,2,3,21,Unknown,126.44
136,Vijayawada,1704,1,2,29,Furnished,110.04
137,Bangalore,1000,4,3,30,Semi-Furnished,54.71
138,Hyderabad,1288,2,2,22,Unknown,55.91
139,Vijayawada,1619,4,2,10,Semi-Furnished,36.27
140,Vijayawada,1524,3,2,30,Unfurnished,17.3
141,Guntur,1369,3,3,28,Furnished,62.08
142,Hyderabad,1453,1,3,39,Furnished,40.05
143,Hyderabad,1387,4,3,5,Unknown,62.88
144,Vijayawada,1569,1,3,16,Unfurnished,24.99
145,Guntur,1499,3,2,36,Furnished,45.95
146,Chennai,345,5,2,20,Semi-Furnished,68.72
147,Hyderabad,1393,5,3,37,Furnished,74.16
148,Hyderabad,1579,5,1,0,Furnished,75.44
149,Chennai,1633,5,2,1,Furnished,31.99
150,Hyderabad,1333,3,3,31,Semi-Furnished,86.37
151,Chennai,709,2,2,14,Furnished,44.99
152,Hyderabad,1648,5,1,20,Semi-Furnished,80.82
153,Guntur,2277,5,2,17,Semi-Furnished,64.73
154,Hyderabad,810,5,1,16,Semi-Furnished,30.59
155,Vijayawada,1889,4,3,37,Semi-Furnished,57.1
156,Bangalore,1352,1,3,3,Unknown,74.13
157,Hyderabad,1472,3,1,30,Furnished,80.32
158,Bangalore,1026,3,2,20,Unfurnished,61.48
159,Bangalore,1349,5,3,26,Semi-Furnished,103.29
160,Chennai,2085,2,2,15,Furnished,90.19
161,Guntur,1762,2,1,6,Semi-Furnished,58.58
162,Bangalore,2280,1,2,27,Furnished,83.75
163,Vijayawada,2030,5,2,18,Furnished,113.34
164,Vijayawada,1698,4,2,5,Unknown,114.01
165,Vijayawada,2285,1,1,14,Semi-Furnished,34.3
166,Chennai,1698,3,1,38,Semi-Furnished,65.06
167,Vijayawada,1873,3,3,10,Unknown,102.12
168,Hyderabad,1367,3,1,7,Furnished,38.54
169,Vijayawada,1530,5,1,27,Unfurnished,31.94
170,Hyderabad,1186,1,1,7,Unfurnished,52.85
171,Hyderabad,1499,2,1,36,Semi-Furnished,75.51
172,Hyderabad,970,1,1,34,Furnished,128.26
173,Chennai,1852,2,2,39,Unfurnished,48.74
174,Chennai,1414,5,3,36,Furnished,48.14
175,Bangalore,2027,5,1,9,Semi-Furnished,47.19
176,Vijayawada,1838,1,1,8,Furnished,43.01
177,Chennai,2319,4,1,13,Unfurnished,122.04
178,Hyderabad,1829,2,2,18,Unfurnished,72.44
179,Guntur,793,1,1,35,Furnished,87.17
180,Bangalore,1470,2,3,29,Unknown,52.77
181,Guntur,973,1,2,25,Furnished,60.35
182,Hyderabad,1267,3,3,35,Semi-Furnished,47.16
183,Vijayawada,2180,5,2,20,Unfurnished,2.05
184,Bangalore,1787,3,2,15,Semi-Furnished,65.06
185,Vijayawada,1185,4,3,16,Semi-Furnished,19.73
186,Vijayawada,1044,3,2,20,Unfurnished,8.76
187,Hyderabad,1515,1,3,3,Semi-Furnished,35.12
188,Vijayawada,953,1,3,20,Furnished,98.12
189,Hyderabad,1198,2,2,26,Furnished,63.89
190,Vijayawada,1499,2,3,29,Furnished,97.26
191,Bangalore,2020,5,1,21,Furnished,75.27
192,Bangalore,1499,5,3,31,Unfurnished,84.56
193,Bangalore,469,5,3,37,Furnished,42.48
194,Vijayawada,1637,4,3,20,Unknown,78.1
195,Guntur,1532,3,1,17,Furnished,83.22
196,Hyderabad,1686,4,3,4,Unfurnished,50.58
197,Vijayawada,2227,3,2,31,Furnished,78.99
198,Hyderabad,572,4,1,36,Semi-Furnished,79.15
199,Vijayawada,1234,4,1,27,Furnished,51.26
200,Guntur,1766,4,2,34,Semi-Furnished,36.93
201,Vijayawada,788,4,1,34,Unknown,35.4
202,Guntur,2164,1,1,31,Unknown,67.16
203,Vijayawada,1666,4,2,20,Furnished,73.18
204,Bangalore,1881,2,2,3,Furnished,45.19
205,Vijayawada,1243,4,1,0,Unknown,65.66
206,Hyderabad,1866,3,3,20,Unfurnished,79.26
207,Chennai,1981,5,3,17,Semi-Furnished,80.45
208,Guntur,1605,2,2,29,Unknown,103.8
209,Hyderabad,1605,5,3,18,Semi-Furnished,96.92
210,Chennai,1622,5,2,0,Semi-Furnished,65.06
211,Hyderabad,1111,2,1,8,Semi-Furnished,107.09
212,Chennai,1434,3,1,39,Unknown,51.73
213,Chennai,1431,3,3,39,Unfurnished,65.06
214,Vijayawada,1673,4,3,15,Furnished,66.7
215,Chennai,1950,4,3,32,Semi-Furnished,54.7
216,Hyderabad,1024,5,2,28,Furnished,19.81
217,Hyderabad,1444,2,1,37,Semi-Furnished,60.71
218,Hyderabad,2167,3,1,35,Semi-Furnished,26.02
219,Vijayawada,1165,3,1,25,Unfurnished,89.18
220,Guntur,1130,5,2,15,Unknown,102.92
221,Hyderabad,1591,2,2,25,Semi-Furnished,45.08
222,Vijayawada,1880,3,1,12,Unfurnished,72.55
223,Chennai,1505,1,3,13,Semi-Furnished,46.87
224,Hyderabad,2098,5,2,24,Semi-Furnished,49.29
225,Chennai,1886,2,1,22,Unfurnished,84.36
226,Vijayawada,1879,2,2,23,Unfurnished,64.04
227,Chennai,1749,3,3,15,Unknown,108.49
228,Bangalore,2547,3,1,16,Furnished,52.94
229,Bangalore,1408,5,1,0,Furnished,65.06
230,Hyderabad,598,3,1,24,Semi-Furnished,67.44
231,Vijayawada,2222,3,3,23,Furnished,84.89
232,Chennai,1294,1,1,37,Furnished,53.82
233,Hyderabad,1499,1,2,20,Semi-Furnished,63.76
234,Chennai,2089,2,2,18,Unknown,62.11
235,Vijayawada,779,5,3,2,Semi-Furnished,44.1
236,Chennai,937,5,1,7,Unfurnished,81.55
237,Bangalore,779,4,3,13,Semi-Furnished,81.26
238,Vijayawada,1143,4,3,15,Furnished,79.84
239,Vijayawada,1698,2,2,14,Unfurnished,103.42
240,Bangalore,1736,1,1,15,Unfurnished,101.23
241,Hyderabad,1624,1,3,30,Semi-Furnished,55.63
242,Bangalore,864,2,1,5,Unfurnished,74.33
243,Hyderabad,460,2,2,20,Unfurnished,49.41
244,Bangalore,1524,1,2,6,Unfurnished,65.58
245,Bangalore,1288,2,1,12,Semi-Furnished,50.01
246,Hyderabad,1707,1,2,27,Furnished,105.5
247,Chennai,1816,4,2,1,Semi-Furnished,74.09
248,Vijayawada,1562,5,1,13,Furnished,59.55
249,Chennai,1842,4,1,0,Semi-Furnished,65.06
250,Hyderabad,1603,3,1,20,Semi-Furnished,10.73
251,Hyderabad,1739,3,2,29,Furnished,14.65
252,Vijayawada,1183,2,3,9,Furnished,84.9
253,Hyderabad,1419,1,1,7,Semi-Furnished,66.51
254,Vijayawada,1589,3,1,3,Furnished,71.26
255,Bangalore,1869,3,1,18,Semi-Furnished,31.84
256,Hyderabad,1323,1,2,30,Furnished,64.42
257,Bangalore,1735,3,1,23,Unknown,115.09
258,Hyderabad,1499,2,2,35,Semi-Furnished,85.6
259,Hyderabad,1447,1,1,13,Semi-Furnished,69.24
260,Bangalore,1873,4,1,11,Semi-Furnished,54.02
261,Chennai,603,3,2,19,Furnished,55.14
262,Hyderabad,917,4,2,8,Semi-Furnished,11.77
263,Hyderabad,1499,4,2,39,Unknown,71.44
264,Guntur,450,5,3,7,Unknown,86.14
265,Guntur,1195,5,2,19,Semi-Furnished,25.61
266,Bangalore,1837,4,3,20,Semi-Furnished,48.46
267,Vijayawada,1372,5,2,2,Unknown,36.06
268,Vijayawada,1589,3,1,18,Semi-Furnished,40.87
269,Bangalore,1990,5,2,18,Semi-Furnished,66.34
270,Bangalore,1499,4,1,10,Furnished,12.89
271,Hyderabad,1469,4,2,5,Unknown,80.36
272,Hyderabad,2109,5,1,1,Semi-Furnished,83.85
273,Hyderabad,1541,3,3,0,Semi-Furnished,58.72
274,Guntur,1123,4,2,20,Furnished,2.98
275,Vijayawada,1233,2,3,3,Semi-Furnished,40.09
276,Vijayawada,834,5,3,38,Semi-Furnished,95.82
277,Vijayawada,1100,4,2,9,Semi-Furnished,65.06
278,Chennai,1339,4,2,26,Semi-Furnished,56.31
279,Hyderabad,1862,3,3,26,Unknown,35.5
280,Hyderabad,2274,5,1,19,Unknown,85.11
281,Hyderabad,878,1,1,35,Semi-Furnished,48.12
282,Vijayawada,1677,1,3,20,Semi-Furnished,75.1
283,Bangalore,1499,3,2,9,Unknown,79.14
284,Vijayawada,1714,4,1,10,Furnished,110.91
285,Vijayawada,1441,5,2,20,Furnished,59.93
286,Guntur,676,3,2,11,Semi-Furnished,74.4
287,Hyderabad,1918,4,3,20,Semi-Furnished,27.87
288,Bangalore,1228,3,3,30,Unknown,128.26
289,Bangalore,1260,5,1,12,Furnished,45.99
290,Vijayawada,1019,4,1,35,Furnished,50.98
291,Chennai,1206,3,2,30,Semi-Furnished,64.44
292,Hyderabad,1693,5,1,36,Semi-Furnished,25.93
293,Guntur,1499,1,1,4,Semi-Furnished,70.72
294,Vijayawada,1648,5,1,39,Furnished,89.19
295,Bangalore,1663,1,1,24,Furnished,72.32
296,Bangalore,2094,2,3,20,Semi-Furnished,25.28
297,Chennai,1346,5,1,14,Semi-Furnished,61.9
298,Vijayawada,835,4,1,38,Unknown,83.55
299,Hyderabad,1980,5,3,23,Furnished,18.05
300,Hyderabad,1351,4,1,2,Unfurnished,38.13
